['(0,3.0517578125e-05)', '(0.481842041015625,0.48187255859375)']
['(3.0517578125e-05,6.103515625e-05)', '(0.4818115234375,0.481842041015625)']
['(3.0517578125e-05,6.103515625e-05)', '(0.481842041015625,0.48187255859375)']
['(0,3.0517578125e-05)', '(0.48187255859375,0.481903076171875)']
['(0,3.0517578125e-05)', '(0.481903076171875,0.48193359375)']
['(3.0517578125e-05,6.103515625e-05)', '(0.48187255859375,0.481903076171875)']
['(3.0517578125e-05,6.103515625e-05)', '(0.481903076171875,0.48193359375)']
['(6.103515625e-05,9.1552734375e-05)', '(0.4818115234375,0.481842041015625)']
['(6.103515625e-05,9.1552734375e-05)', '(0.481842041015625,0.48187255859375)']
['(9.1552734375e-05,0.0001220703125)', '(0.4818115234375,0.481842041015625)']
['(9.1552734375e-05,0.0001220703125)', '(0.481842041015625,0.48187255859375)']
['(6.103515625e-05,9.1552734375e-05)', '(0.48187255859375,0.481903076171875)']
['(6.103515625e-05,9.1552734375e-05)', '(0.481903076171875,0.48193359375)']
['(9.1552734375e-05,0.0001220703125)', '(0.48187255859375,0.481903076171875)']
['(9.1552734375e-05,0.0001220703125)', '(0.481903076171875,0.48193359375)']
['(0.0001220703125,0.000152587890625)', '(0.481689453125,0.481719970703125)']
['(0.0001220703125,0.000152587890625)', '(0.481719970703125,0.48175048828125)']
['(0.000152587890625,0.00018310546875)', '(0.481689453125,0.481719970703125)']
['(0.000152587890625,0.00018310546875)', '(0.481719970703125,0.48175048828125)']
['(0.0001220703125,0.000152587890625)', '(0.48175048828125,0.481781005859375)']
['(0.0001220703125,0.000152587890625)', '(0.481781005859375,0.4818115234375)']
['(0.000152587890625,0.00018310546875)', '(0.48175048828125,0.481781005859375)']
['(0.000152587890625,0.00018310546875)', '(0.481781005859375,0.4818115234375)']
['(0.00018310546875,0.000213623046875)', '(0.48175048828125,0.481781005859375)']
['(0.00018310546875,0.000213623046875)', '(0.481781005859375,0.4818115234375)']
['(0.0001220703125,0.000152587890625)', '(0.4818115234375,0.481842041015625)']
['(0.0001220703125,0.000152587890625)', '(0.481842041015625,0.48187255859375)']
['(0.000152587890625,0.00018310546875)', '(0.4818115234375,0.481842041015625)']
['(0.000152587890625,0.00018310546875)', '(0.481842041015625,0.48187255859375)']
['(0.0001220703125,0.000152587890625)', '(0.48187255859375,0.481903076171875)']
['(0.0001220703125,0.000152587890625)', '(0.481903076171875,0.48193359375)']
['(0.000152587890625,0.00018310546875)', '(0.48187255859375,0.481903076171875)']
['(0.000152587890625,0.00018310546875)', '(0.481903076171875,0.48193359375)']
['(0.00018310546875,0.000213623046875)', '(0.4818115234375,0.481842041015625)']
['(0.00018310546875,0.000213623046875)', '(0.481842041015625,0.48187255859375)']
['(0.00018310546875,0.000213623046875)', '(0.48187255859375,0.481903076171875)']
['(0.00018310546875,0.000213623046875)', '(0.481903076171875,0.48193359375)']
['(0,3.0517578125e-05)', '(0.48193359375,0.481964111328125)']
['(0,3.0517578125e-05)', '(0.481964111328125,0.48199462890625)']
['(3.0517578125e-05,6.103515625e-05)', '(0.48193359375,0.481964111328125)']
['(3.0517578125e-05,6.103515625e-05)', '(0.481964111328125,0.48199462890625)']
['(0,3.0517578125e-05)', '(0.48199462890625,0.482025146484375)']
['(0,3.0517578125e-05)', '(0.482025146484375,0.4820556640625)']
['(3.0517578125e-05,6.103515625e-05)', '(0.48199462890625,0.482025146484375)']
['(3.0517578125e-05,6.103515625e-05)', '(0.482025146484375,0.4820556640625)']
['(6.103515625e-05,9.1552734375e-05)', '(0.48193359375,0.481964111328125)']
['(6.103515625e-05,9.1552734375e-05)', '(0.481964111328125,0.48199462890625)']
['(9.1552734375e-05,0.0001220703125)', '(0.48193359375,0.481964111328125)']
['(9.1552734375e-05,0.0001220703125)', '(0.481964111328125,0.48199462890625)']
['(6.103515625e-05,9.1552734375e-05)', '(0.48199462890625,0.482025146484375)']
['(6.103515625e-05,9.1552734375e-05)', '(0.482025146484375,0.4820556640625)']
['(9.1552734375e-05,0.0001220703125)', '(0.48199462890625,0.482025146484375)']
['(9.1552734375e-05,0.0001220703125)', '(0.482025146484375,0.4820556640625)']
['(0,3.0517578125e-05)', '(0.4820556640625,0.482086181640625)']
['(0,3.0517578125e-05)', '(0.482086181640625,0.48211669921875)']
['(3.0517578125e-05,6.103515625e-05)', '(0.4820556640625,0.482086181640625)']
['(3.0517578125e-05,6.103515625e-05)', '(0.482086181640625,0.48211669921875)']
['(0,3.0517578125e-05)', '(0.48211669921875,0.482147216796875)']
['(0,3.0517578125e-05)', '(0.482147216796875,0.482177734375)']
['(3.0517578125e-05,6.103515625e-05)', '(0.48211669921875,0.482147216796875)']
['(3.0517578125e-05,6.103515625e-05)', '(0.482147216796875,0.482177734375)']
['(6.103515625e-05,9.1552734375e-05)', '(0.4820556640625,0.482086181640625)']
['(6.103515625e-05,9.1552734375e-05)', '(0.482086181640625,0.48211669921875)']
['(9.1552734375e-05,0.0001220703125)', '(0.4820556640625,0.482086181640625)']
['(9.1552734375e-05,0.0001220703125)', '(0.482086181640625,0.48211669921875)']
['(6.103515625e-05,9.1552734375e-05)', '(0.48211669921875,0.482147216796875)']
['(6.103515625e-05,9.1552734375e-05)', '(0.482147216796875,0.482177734375)']
['(9.1552734375e-05,0.0001220703125)', '(0.48211669921875,0.482147216796875)']
['(9.1552734375e-05,0.0001220703125)', '(0.482147216796875,0.482177734375)']
['(0.0001220703125,0.000152587890625)', '(0.48193359375,0.481964111328125)']
['(0.0001220703125,0.000152587890625)', '(0.481964111328125,0.48199462890625)']
['(0.000152587890625,0.00018310546875)', '(0.48193359375,0.481964111328125)']
['(0.000152587890625,0.00018310546875)', '(0.481964111328125,0.48199462890625)']
['(0.0001220703125,0.000152587890625)', '(0.48199462890625,0.482025146484375)']
['(0.0001220703125,0.000152587890625)', '(0.482025146484375,0.4820556640625)']
['(0.000152587890625,0.00018310546875)', '(0.48199462890625,0.482025146484375)']
['(0.000152587890625,0.00018310546875)', '(0.482025146484375,0.4820556640625)']
['(0.00018310546875,0.000213623046875)', '(0.48193359375,0.481964111328125)']
['(0.00018310546875,0.000213623046875)', '(0.481964111328125,0.48199462890625)']
['(0.00018310546875,0.000213623046875)', '(0.48199462890625,0.482025146484375)']
['(0.00018310546875,0.000213623046875)', '(0.482025146484375,0.4820556640625)']
['(0.0001220703125,0.000152587890625)', '(0.4820556640625,0.482086181640625)']
['(0.0001220703125,0.000152587890625)', '(0.482086181640625,0.48211669921875)']
['(0.000152587890625,0.00018310546875)', '(0.4820556640625,0.482086181640625)']
['(0.000152587890625,0.00018310546875)', '(0.482086181640625,0.48211669921875)']
['(0.0001220703125,0.000152587890625)', '(0.48211669921875,0.482147216796875)']
['(0.0001220703125,0.000152587890625)', '(0.482147216796875,0.482177734375)']
['(0.000152587890625,0.00018310546875)', '(0.48211669921875,0.482147216796875)']
['(0.000152587890625,0.00018310546875)', '(0.482147216796875,0.482177734375)']
['(0.00018310546875,0.000213623046875)', '(0.4820556640625,0.482086181640625)']
['(0.00018310546875,0.000213623046875)', '(0.482086181640625,0.48211669921875)']
['(0.000213623046875,0.000244140625)', '(0.482086181640625,0.48211669921875)']
['(0.00018310546875,0.000213623046875)', '(0.48211669921875,0.482147216796875)']
['(0.00018310546875,0.000213623046875)', '(0.482147216796875,0.482177734375)']
['(0.000213623046875,0.000244140625)', '(0.48211669921875,0.482147216796875)']
['(0.000213623046875,0.000244140625)', '(0.482147216796875,0.482177734375)']
['(0,3.0517578125e-05)', '(0.482177734375,0.482208251953125)']
['(0,3.0517578125e-05)', '(0.482208251953125,0.48223876953125)']
['(3.0517578125e-05,6.103515625e-05)', '(0.482177734375,0.482208251953125)']
['(3.0517578125e-05,6.103515625e-05)', '(0.482208251953125,0.48223876953125)']
['(0,3.0517578125e-05)', '(0.48223876953125,0.482269287109375)']
['(0,3.0517578125e-05)', '(0.482269287109375,0.4822998046875)']
['(3.0517578125e-05,6.103515625e-05)', '(0.48223876953125,0.482269287109375)']
['(3.0517578125e-05,6.103515625e-05)', '(0.482269287109375,0.4822998046875)']
['(6.103515625e-05,9.1552734375e-05)', '(0.482177734375,0.482208251953125)']
['(6.103515625e-05,9.1552734375e-05)', '(0.482208251953125,0.48223876953125)']
['(9.1552734375e-05,0.0001220703125)', '(0.482177734375,0.482208251953125)']
['(9.1552734375e-05,0.0001220703125)', '(0.482208251953125,0.48223876953125)']
['(6.103515625e-05,9.1552734375e-05)', '(0.48223876953125,0.482269287109375)']
['(6.103515625e-05,9.1552734375e-05)', '(0.482269287109375,0.4822998046875)']
['(9.1552734375e-05,0.0001220703125)', '(0.48223876953125,0.482269287109375)']
['(9.1552734375e-05,0.0001220703125)', '(0.482269287109375,0.4822998046875)']
['(0,3.0517578125e-05)', '(0.4822998046875,0.482330322265625)']
['(0,3.0517578125e-05)', '(0.482330322265625,0.48236083984375)']
['(3.0517578125e-05,6.103515625e-05)', '(0.4822998046875,0.482330322265625)']
['(3.0517578125e-05,6.103515625e-05)', '(0.482330322265625,0.48236083984375)']
['(0,3.0517578125e-05)', '(0.48236083984375,0.482391357421875)']
['(0,3.0517578125e-05)', '(0.482391357421875,0.482421875)']
['(3.0517578125e-05,6.103515625e-05)', '(0.48236083984375,0.482391357421875)']
['(3.0517578125e-05,6.103515625e-05)', '(0.482391357421875,0.482421875)']
['(6.103515625e-05,9.1552734375e-05)', '(0.4822998046875,0.482330322265625)']
['(6.103515625e-05,9.1552734375e-05)', '(0.482330322265625,0.48236083984375)']
['(9.1552734375e-05,0.0001220703125)', '(0.4822998046875,0.482330322265625)']
['(9.1552734375e-05,0.0001220703125)', '(0.482330322265625,0.48236083984375)']
['(6.103515625e-05,9.1552734375e-05)', '(0.48236083984375,0.482391357421875)']
['(6.103515625e-05,9.1552734375e-05)', '(0.482391357421875,0.482421875)']
['(9.1552734375e-05,0.0001220703125)', '(0.48236083984375,0.482391357421875)']
['(9.1552734375e-05,0.0001220703125)', '(0.482391357421875,0.482421875)']
['(0.0001220703125,0.000152587890625)', '(0.482177734375,0.482208251953125)']
['(0.0001220703125,0.000152587890625)', '(0.482208251953125,0.48223876953125)']
['(0.000152587890625,0.00018310546875)', '(0.482177734375,0.482208251953125)']
['(0.000152587890625,0.00018310546875)', '(0.482208251953125,0.48223876953125)']
['(0.0001220703125,0.000152587890625)', '(0.48223876953125,0.482269287109375)']
['(0.0001220703125,0.000152587890625)', '(0.482269287109375,0.4822998046875)']
['(0.000152587890625,0.00018310546875)', '(0.48223876953125,0.482269287109375)']
['(0.000152587890625,0.00018310546875)', '(0.482269287109375,0.4822998046875)']
['(0.00018310546875,0.000213623046875)', '(0.482177734375,0.482208251953125)']
['(0.00018310546875,0.000213623046875)', '(0.482208251953125,0.48223876953125)']
['(0.000213623046875,0.000244140625)', '(0.482177734375,0.482208251953125)']
['(0.000213623046875,0.000244140625)', '(0.482208251953125,0.48223876953125)']
['(0.00018310546875,0.000213623046875)', '(0.48223876953125,0.482269287109375)']
['(0.00018310546875,0.000213623046875)', '(0.482269287109375,0.4822998046875)']
['(0.000213623046875,0.000244140625)', '(0.48223876953125,0.482269287109375)']
